client_name,day_of_week,quantity,서비스 종류,성비(남:녀),업종,temperature,메인 메뉴,food_class,spicy,food_temperature_level,basic_quantity
위시켓,수,36,베이직,6:4,IT,7,육회비빔밥,한식,0.5,1,130
이노레드,수,65,베이직,8:2,마케팅,7,육회비빔밥,한식,0.5,1,95
쿼터백,수,22,베이직,7:3,IT,7,육회비빔밥,한식,0.5,1,25
크래프톤,수,120,베이직,7:3,게임,7,육회비빔밥,한식,0.5,1,120
크립토파라다이스,수,24,베이직,6:4,게임,7,육회비빔밥,한식,0.5,1,20
테거스,수,21,베이직,7:3,IT,7,육회비빔밥,한식,0.5,1,20
테스시스템,수,22,프리미엄,7:3,IT,7,육회비빔밥,한식,0.5,1,22
프롬더레드,수,22,베이직,7:3,게임,7,육회비빔밥,한식,0.5,1,30
플레이링스,수,22,베이직,7:3,게임,7,육회비빔밥,한식,0.5,1,30
핏투게더,수,30,프리미엄,8:2,IT,7,육회비빔밥,한식,0.5,1,55
마인드로직,목,18,베이직,5:5,IT,5,매운갈비찜,한식,0.8,2,25
메드트로닉,목,70,베이직,7:3,무역,5,매운갈비찜,한식,0.8,2,75
부농,목,23,베이직,7:3,제조,5,매운갈비찜,한식,0.8,2,25
분당메모리얼파크,목,28,베이직,5:5,서비스,5,매운갈비찜,한식,0.8,2,40
비트센싱,목,20,베이직,6:4,IT,5,매운갈비찜,한식,0.8,2,36
비헤이브글로벌,목,29,베이직,5:5,마케팅,5,매운갈비찜,한식,0.8,2,35
세종메디칼,목,26,베이직,7:3,의료,5,매운갈비찜,한식,0.8,2,70
알파투쎄븐쓰리,목,40,베이직,7:3,IT,5,매운갈비찜,한식,0.8,2,20
엔라이즈,목,32,베이직,7:3,IT,5,매운갈비찜,한식,0.8,2,40
엠레드클리닉,목,22,베이직,2:8,미용,5,매운갈비찜,한식,0.8,2,30
오가나셀피부과,목,32,프리미엄,3:7,미용,5,매운갈비찜,한식,0.8,2,45
코렘시스,목,16,베이직,8:2,건설,5,매운갈비찜,한식,0.8,2,18
쿼터백,목,20,베이직,7:3,IT,5,매운갈비찜,한식,0.8,2,25
크래프톤,목,108,베이직,7:3,게임,5,매운갈비찜,한식,0.8,2,120
크립토파라다이스,목,22,베이직,6:4,게임,5,매운갈비찜,한식,0.8,2,20
프롬더레드,목,20,베이직,7:3,게임,5,매운갈비찜,한식,0.8,2,30
플레이링스,목,20,베이직,7:3,게임,5,매운갈비찜,한식,0.8,2,30
핏투게더,목,27,프리미엄,8:2,IT,5,매운갈비찜,한식,0.8,2,55
휴이노,목,50,베이직,8:2,IT,5,매운갈비찜,한식,0.8,2,80
더퍼스트터치,금,30,베이직,7:3,제조,2,감자 사라다 샌드위치,한식,0,0,95
마인드로직,금,17,베이직,5:5,IT,2,감자 사라다 샌드위치,한식,0,0,25
메드트로닉,금,68,베이직,7:3,무역,2,감자 사라다 샌드위치,한식,0,0,75
뱅크샐러드,금,44,베이직,6:4,IT,2,감자 사라다 샌드위치,한식,0,0,50
비트센싱,금,19,베이직,6:4,IT,2,감자 사라다 샌드위치,한식,0,0,36
비헤이브글로벌,금,28,베이직,5:5,마케팅,2,감자 사라다 샌드위치,한식,0,0,35
세종메디칼,금,25,베이직,7:3,의료,2,감자 사라다 샌드위치,한식,0,0,70
알파투쎄븐쓰리,금,38,베이직,7:3,IT,2,감자 사라다 샌드위치,한식,0,0,20
위시켓,금,31,베이직,6:4,IT,2,감자 사라다 샌드위치,한식,0,0,130
코렘시스,금,16,베이직,8:2,건설,2,감자 사라다 샌드위치,한식,0,0,18
쿼터백,금,19,베이직,7:3,IT,2,감자 사라다 샌드위치,한식,0,0,25
크래프톤,금,104,베이직,7:3,게임,2,감자 사라다 샌드위치,한식,0,0,120
크립토파라다이스,금,21,베이직,6:4,게임,2,감자 사라다 샌드위치,한식,0,0,20
휴이노,금,48,베이직,8:2,IT,2,감자 사라다 샌드위치,한식,0,0,80
NC문화재단,금,19,프리미엄,7:3,게임,2,감자 사라다 샌드위치,한식,0,0,22
긱스빈,월,19,베이직,7:3,전기전자,4,매운콩나물소불고기,한식,0.8,1,35
버핏서울,월,16,베이직,7:3,헬스케어,4,매운콩나물소불고기,한식,0.8,1,35
부농,월,20,베이직,7:3,제조,4,매운콩나물소불고기,한식,0.8,1,25
분당메모리얼파크,월,25,베이직,5:5,서비스,4,매운콩나물소불고기,한식,0.8,1,40
비트센싱,월,18,베이직,6:4,IT,4,매운콩나물소불고기,한식,0.8,1,36
비헤이브글로벌,월,26,베이직,5:5,마케팅,4,매운콩나물소불고기,한식,0.8,1,35
세종메디칼,월,23,베이직,7:3,의료,4,매운콩나물소불고기,한식,0.8,1,70
소프트팩,월,44,베이직,3:7,식음료,4,매운콩나물소불고기,한식,0.8,1,55
