고객사명,요일,식수량(인분),서비스 종류,성비(남:녀),업종,최고온도,메인 메뉴,분류,맵기,염도,당도,1인당 소비량(g),1인당 제공량
앤비젼,수,66,프리미엄,7:3,전기전자,0,소고기데리야끼,일식,0.3,0.5,0.7,126,140
어메이징브루어리,수,17,베이직,6:4,식음료,0,소고기데리야끼,일식,0.3,0.5,0.7,112,140
에코마케팅,수,128,베이직,5:5,마케팅,0,소고기데리야끼,일식,0.3,0.5,0.7,126,140
에픽게임즈,수,98,베이직,7:3,게임,0,소고기데리야끼,일식,0.3,0.5,0.7,126,140
엔라이즈,수,35,베이직,7:3,IT,0,소고기데리야끼,일식,0.3,0.5,0.7,117,140
자민경,목,26,베이직,5:5,미용,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
젠지엘리트,목,31,프리미엄,7:3,교육,2,고추장소고기볶음,한식,0.6,0.7,0.7,125,140
젠틀몬스터,목,37,베이직,5:5,제조,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
채널톡,목,50,프리미엄,7:3,IT,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
카닥,목,22,프리미엄,7:3,IT,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
카사코리아,목,30,베이직,7:3,금융,2,고추장소고기볶음,한식,0.6,0.7,0.7,125,140
카이특허 사무소,목,23,베이직,5:5,법무,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
카카오 인베스트,목,14,베이직,7:3,컨설팅,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
카페노노,목,21,베이직,6:4,IT,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
캠퍼스멘토,목,21,베이직,7:3,교육,2,고추장소고기볶음,한식,0.6,0.7,0.7,123,140
커넥트비글로벌,목,38,베이직,8:2,마케팅,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
코렘시스,목,16,베이직,8:2,건설,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
코빗,목,43,베이직,7:3,IT,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
쿼터백,목,20,베이직,7:3,IT,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
큐피스트,목,33,베이직,7:3,IT,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
크래프톤,목,108,베이직,7:3,게임,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
크립토파라다이스,목,22,베이직,6:4,게임,2,고추장소고기볶음,한식,0.6,0.7,0.7,124,140
태평양감정평가법인,목,49,베이직,7:3,감정평가,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
테거스,목,19,베이직,7:3,IT,2,고추장소고기볶음,한식,0.6,0.7,0.7,131,140
